,mean_train_score,std_train_score,mean_test_score,std_test_score,param_dados__op,param,modelo
0,-647.2595907438056,18.95429607421556,-658.9834165212135,78.20872265578093,1,1,Gradient Boosted
1,-629.7008557855181,23.091061805454856,-690.6106752713841,90.67911307261099,1,6,Gradient Boosted
2,-621.7962622529556,23.61647530612561,-712.9567628308072,97.86731741185078,1,11,Gradient Boosted
3,-617.5232220932667,23.950724745086735,-724.8845021935924,101.59094695367604,1,16,Gradient Boosted
4,-615.1250659191033,23.992403842424636,-732.351609292255,103.95184149693638,1,21,Gradient Boosted
5,-613.3706563207246,24.09747599145266,-736.4697402445395,104.49095975939154,1,26,Gradient Boosted
6,-612.0396804184578,24.089983425249986,-740.8121990643007,105.14537831836716,1,31,Gradient Boosted
7,-611.0070710873933,24.028068870956837,-744.7135579230268,105.16312659539776,1,36,Gradient Boosted
8,-610.3336596573065,24.01725451810622,-747.5953557840058,105.62622325759067,1,41,Gradient Boosted
9,-609.8581950138705,24.011764203598933,-749.3119025403004,105.79517757500109,1,46,Gradient Boosted
10,-609.5597001287421,24.03927806365948,-751.0179975264043,106.28117685521634,1,51,Gradient Boosted
11,-609.2889422387889,24.01543781098649,-752.2608813004715,106.38528647331336,1,56,Gradient Boosted
12,-609.1160363087191,24.015639472924747,-753.659856816311,106.83214402898427,1,61,Gradient Boosted
13,-608.9897070333026,24.02927854061154,-754.5568177643361,107.18830322353979,1,66,Gradient Boosted
14,-608.8875348864184,24.032388824631532,-755.5714654267447,107.61838931347518,1,71,Gradient Boosted
15,-608.8155836286423,24.025710135780916,-756.4697780570526,107.75383768975553,1,76,Gradient Boosted
16,-608.7656957636154,24.023767058253146,-757.1656760768022,107.81099276305196,1,81,Gradient Boosted
17,-608.7322443051546,24.022761854245353,-757.6277523719152,107.77855716210003,1,86,Gradient Boosted
18,-608.708696242218,24.022871747431953,-758.005445683745,107.80445487270482,1,91,Gradient Boosted
19,-608.6897772741946,24.024051721217177,-758.4431672911903,107.91530107764652,1,96,Gradient Boosted
20,-633.6431766736478,16.542181139570943,-645.878106061209,79.95183170428022,2,1,Gradient Boosted
21,-571.2502237038275,15.37856459854145,-637.8005029191411,92.48986290735604,2,6,Gradient Boosted
22,-527.8891301420982,17.510416749184426,-647.0652611867291,98.14206623998176,2,11,Gradient Boosted
23,-499.2727382210804,17.80417992986326,-652.0516933471839,98.73167432184644,2,16,Gradient Boosted
24,-478.7058840088631,19.867279811642053,-662.1138761403042,100.858998055619,2,21,Gradient Boosted
25,-458.6796001236665,20.781611661554816,-669.1102859467179,100.39707262950124,2,26,Gradient Boosted
26,-440.28163034943736,24.782220867687165,-677.6134152601901,98.63921982798807,2,31,Gradient Boosted
27,-426.9165594690935,24.16328707794177,-681.7783567671806,100.72161176957093,2,36,Gradient Boosted
28,-415.6187908948797,25.307053489756598,-686.6425451362975,98.76274067961604,2,41,Gradient Boosted
29,-403.51340612268854,25.856500732538667,-686.1720754035598,96.8938326092545,2,46,Gradient Boosted
30,-393.99884886623414,25.74873537504978,-686.5222915119804,97.66176003757083,2,51,Gradient Boosted
31,-383.529484593878,24.633538470486467,-687.5611841592072,95.2436248009184,2,56,Gradient Boosted
32,-373.30886488512476,26.01556469408786,-691.3684120911508,93.08893251477225,2,61,Gradient Boosted
33,-362.3934262718264,24.927799831372223,-690.7798004559379,91.33363267697092,2,66,Gradient Boosted
34,-353.86377001118706,25.145073338229334,-692.3775334071122,90.36620701284855,2,71,Gradient Boosted
35,-344.54595114828396,23.377937877153318,-695.5496006394815,88.32426204684282,2,76,Gradient Boosted
36,-335.8261030569317,23.159611286208637,-696.7005111636265,88.24012667378476,2,81,Gradient Boosted
37,-329.0340191553457,23.053233034491395,-698.714575227339,87.66634137390155,2,86,Gradient Boosted
38,-321.45194297041417,24.554687217430377,-699.4049338227112,88.31702114516213,2,91,Gradient Boosted
39,-313.4969140594503,24.982113651739922,-698.761772355414,88.55345186531534,2,96,Gradient Boosted
