,mean_train_score,std_train_score,mean_test_score,std_test_score,param_dados__op,param,modelo
0,-612.8962966836347,22.42456314553686,-768.4799479972226,111.98264431220585,1,1,Random Forest
1,-609.2499166371017,24.20672411315154,-759.558943580161,108.8875296323541,1,6,Random Forest
2,-609.0358797848174,24.061794684002944,-757.0680897738739,104.33862894689236,1,11,Random Forest
3,-608.8214271651548,24.014405823565006,-758.9241055904221,109.86895035520752,1,16,Random Forest
4,-608.7817466758806,23.976644668099627,-761.0796329205223,108.80439088792383,1,21,Random Forest
5,-608.819727589213,24.008588192623396,-761.4180312992927,107.31609878972687,1,26,Random Forest
6,-608.7497161438412,24.020390504795955,-758.1006729873709,107.9821914266618,1,31,Random Forest
7,-608.717118626087,24.0298598554918,-759.2462017727513,110.97345311689277,1,36,Random Forest
8,-608.6957335379722,23.990958856369065,-761.5947278715604,108.98117624633319,1,41,Random Forest
9,-608.7180605645037,24.024393824993048,-760.5126982975556,107.2851777192822,1,46,Random Forest
10,-608.7254260990067,24.037710040311033,-762.0227981237839,108.04017996976364,1,51,Random Forest
11,-608.6935021720743,24.057761897843054,-763.1924353893718,107.88295083894911,1,56,Random Forest
12,-608.6941129394062,24.018233838439325,-762.816967196724,108.88855081160139,1,61,Random Forest
13,-608.6830265023893,24.03130662166887,-760.6858293287866,106.93071874188328,1,66,Random Forest
14,-608.6870338232259,24.038599333319812,-761.2029083271397,107.63910530400506,1,71,Random Forest
15,-608.6655292609519,24.010524738744955,-760.7107953397708,107.02620452741498,1,76,Random Forest
16,-608.6784891042266,24.018635748879955,-760.6298228933136,108.44637043142752,1,81,Random Forest
17,-608.6684138402541,24.02740918308411,-761.5095717767118,107.05114550738108,1,86,Random Forest
18,-608.6728657329302,24.02656674457738,-761.5219712689494,107.79253387688384,1,91,Random Forest
19,-608.6705842049363,24.033236268006597,-759.7817197599128,109.5251003379095,1,96,Random Forest
20,-335.28400968813196,78.89394152452017,-880.835155428196,58.63497673791229,2,1,Random Forest
21,-165.59684647712237,12.286624778620915,-770.344489158655,87.90065707844622,2,6,Random Forest
22,-148.21320984197882,23.87046456154239,-739.2036206632057,94.17302585213605,2,11,Random Forest
23,-138.96286661113498,18.452674412456634,-701.4968010217583,88.46648930758965,2,16,Random Forest
24,-134.763574887277,23.733151773191555,-726.8698377539525,100.08246712420973,2,21,Random Forest
25,-121.64223771727765,9.494455443646723,-708.5589943825164,80.70416862811055,2,26,Random Forest
26,-125.34738514397597,16.937379448347862,-709.2736864231949,89.63514752834004,2,31,Random Forest
27,-122.94400899417879,16.867388140730014,-710.1876352609113,83.51820713345248,2,36,Random Forest
28,-121.56840492203648,18.749003294798527,-711.4258432902207,90.68070373676659,2,41,Random Forest
29,-114.96817787436518,14.168143999465117,-719.5292125707307,81.96977425757788,2,46,Random Forest
30,-119.00138617779164,16.659610984045038,-719.2573972667126,97.39540176384206,2,51,Random Forest
31,-119.80034971321318,16.51259797781222,-714.1668796248107,103.82751152461326,2,56,Random Forest
32,-117.90892555271228,17.588339986679117,-707.8754838005985,86.99276029114965,2,61,Random Forest
33,-117.04894145954184,17.007091223086725,-713.4374180041216,95.74386445163023,2,66,Random Forest
34,-114.01827111202746,13.118157905469772,-712.3271023149433,93.71274135796007,2,71,Random Forest
35,-115.38773215871609,18.84935874726146,-712.9001005752646,88.53468014411393,2,76,Random Forest
36,-114.10843070220794,16.992643060911682,-710.9525592711445,94.30854535231899,2,81,Random Forest
37,-113.38962624178764,15.672367182037608,-715.9534911001302,89.11689274018785,2,86,Random Forest
38,-116.69581341214958,17.186579402492335,-718.5117933640317,92.08429407070193,2,91,Random Forest
39,-114.00263977283808,17.624865084172658,-716.0180836516532,98.35043871092432,2,96,Random Forest
